"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"377"	48424	"WEST PALM BEACH-BOCA RATON-BOYNTON BEACH, FL"	64445	64600
"378"	48540	"WHEELING, WV-OH"	48620	51700
"379"	48620	"WICHITA, KS"	61850	63200
"380"	48660	"WICHITA FALLS, TX"	53417	54400
"381"	48700	"WILLIAMSPORT, PA"	52124	53100
"382"	48864	"WILMINGTON, DE-MD-NJ"	76834	79300
"383"	48900	"WILMINGTON, NC"	59230	62700
"384"	49020	"WINCHESTER, VA-WV"	61537	65700
"385"	49180	"WINSTON-SALEM, NC"	57577	59500
"386"	49340	"WORCESTER, MA"	79121	81300
"387"	49420	"YAKIMA, WA"	48004	49600
"388"	49500	"YAUCO, PR"	16141	16400
"389"	49620	"YORK-HANOVER, PA"	67624	71200
"390"	49660	"YOUNGSTOWN-WARREN-BOARDMAN, OH-PA"	52933	53900
"391"	49700	"YUBA CITY, CA"	55370	56300
"392"	49740	"YUMA, AZ"	42718	47300
"393"	99901	"nonmetro portion of ALABAMA"	45812	46000
"394"	99902	"nonmetro portion of ALASKA"	68693	73800
"395"	99904	"nonmetro portion of ARIZONA"	46541	49300
"396"	99905	"nonmetro portion of ARKANSAS"	42249	44000
"397"	99906	"nonmetro portion of CALIFORNIA"	55928	57300
"398"	99908	"nonmetro portion of COLORADO"	57817	59600
"399"	99909	"nonmetro portion of CONNECTICUT"	78903	82600
"400"	99910	"nonmetro portion of DELAWARE"	59053	57500
"401"	99912	"nonmetro portion of FLORIDA"	46748	48000
"402"	99913	"nonmetro portion of GEORGIA"	45133	45600
"403"	99915	"nonmetro portion of HAWAII"	70256	66500
"404"	99916	"nonmetro portion of IDAHO"	49551	51200
"405"	99917	"nonmetro portion of ILLINOIS"	54549	56200
"406"	99918	"nonmetro portion of INDIANA"	52796	52700
"407"	99919	"nonmetro portion of IOWA"	56767	59800
"408"	99920	"nonmetro portion of KANSAS"	52362	55200
"409"	99921	"nonmetro portion of KENTUCKY"	43212	44700
"410"	99922	"nonmetro portion of LOUISIANA"	45646	48000
"411"	99923	"nonmetro portion of MAINE"	51782	53200
"412"	99924	"nonmetro portion of MARYLAND"	71382	78800
"413"	99925	"nonmetro portion of MASSACHUSETTS"	82669	52400
"414"	99926	"nonmetro portion of MICHIGAN"	51613	51700
"415"	99927	"nonmetro portion of MINNESOTA"	58135	61700
