"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"418"	99913	"nonmetro portion of GEORGIA"	45816	46500
"419"	99915	"nonmetro portion of HAWAII"	64822	67000
"420"	99916	"nonmetro portion of IDAHO"	52473	55200
"421"	99917	"nonmetro portion of ILLINOIS"	59121	60400
"422"	99918	"nonmetro portion of INDIANA"	55741	57300
"423"	99919	"nonmetro portion of IOWA"	61934	63900
"424"	99920	"nonmetro portion of KANSAS"	56877	60300
"425"	99921	"nonmetro portion of KENTUCKY"	45920	47800
"426"	99922	"nonmetro portion of LOUISIANA"	46845	47200
"427"	99923	"nonmetro portion of MAINE"	54862	55900
"428"	99924	"nonmetro portion of MARYLAND"	63535	63000
"429"	99925	"nonmetro portion of MASSACHUSETTS"	73868	80000
"430"	99926	"nonmetro portion of MICHIGAN"	53542	55800
"431"	99927	"nonmetro portion of MINNESOTA"	63182	65300
"432"	99928	"nonmetro portion of MISSISSIPPI"	43702	45600
"433"	99929	"nonmetro portion of MISSOURI"	48553	50800
"434"	99930	"nonmetro portion of MONTANA"	59958	60500
"435"	99931	"nonmetro portion of NEBRASKA"	61382	62600
"436"	99932	"nonmetro portion of NEVADA"	61350	62900
"437"	99933	"nonmetro portion of NEW HAMPSHIRE"	71699	73000
"438"	99935	"nonmetro portion of NEW MEXICO"	49356	52300
"439"	99936	"nonmetro portion of NEW YORK"	59570	62500
"440"	99937	"nonmetro portion of NORTH CAROLINA"	47794	48700
"441"	99938	"nonmetro portion of NORTH DAKOTA"	72620	78800
"442"	99939	"nonmetro portion of OHIO"	56217	57600
"443"	99940	"nonmetro portion of OKLAHOMA"	51698	52800
"444"	99941	"nonmetro portion of OREGON"	51555	53300
"445"	99942	"nonmetro portion of PENNSYLVANIA"	56172	57500
"446"	99945	"nonmetro portion of SOUTH CAROLINA"	44547	45900
"447"	99946	"nonmetro portion of SOUTH DAKOTA"	60961	64700
